Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
Accenture,566000,http://www.accenture.com,http://www.linkedin.com/company/accenture,620176553e1b060001a1fa99
AccuV,50,http://www.accuv.com,http://www.linkedin.com/company/accuv,6230d2845dc6a70001ba4212
Acosta,16000,http://www.acosta.com,http://www.linkedin.com/company/acosta,622234fa11146f000118e2fd
Adorama,440,http://www.adorama.com,http://www.linkedin.com/company/adorama,623f4e4de7308b0001affb59
AGIA Affinity,220,http://www.agia.com,http://www.linkedin.com/company/agia,623f4e4de7308b0001affb56
AllSTEM Connections,87,http://www.allstemconnections.com,http://www.linkedin.com/company/allstemconnections,623f4e4de7308b0001affb5a
Altruista Health,520,http://www.altruistahealth.com,http://www.linkedin.com/company/altruista-health,623f4e4de7308b0001affb5b
Amazon Web Services (AWS),1156000,http://www.amazon.com,http://www.linkedin.com/company/amazon,61f9608a66f7f20001ee0467
Amazon,1156000,http://www.amazon.com,http://www.linkedin.com/company/amazon,620176553e1b060001a1faab
"AmTrust Financial Services, Inc.",3800,http://www.amtrustfinancial.com,http://www.linkedin.com/company/amtrust-financial-services-inc,623f4e4de7308b0001affb5c
Amyris,1100,http://www.amyris.com,http://www.linkedin.com/company/amyris-inc,6220ffabc86ebf0001db585f
Aperia,320,http://www.aperia.com,http://www.linkedin.com/company/aperia-solutions-inc.,623f4e4de7308b0001affb5d
APTIM,2200,http://www.aptim.com,http://www.linkedin.com/company/aptimglobal,623f4e4de7308b0001affb57
Arbor Research Collaborative for Health,110,http://www.arborresearch.org,http://www.linkedin.com/company/arbor-research-collaborative-for-health,623f4e4de7308b0001affb5e
"Ascii Group, LLC",120,http://www.asciigroup.com,http://www.linkedin.com/company/ascii-group-llc,622f8e0e0aa8590001097e23
Aspiration,310,http://www.aspiration.com,http://www.linkedin.com/company/aspiration-investments,623f4e4de7308b0001affb5f
Babich & Associates,55,http://www.babich.com,http://www.linkedin.com/company/babich-&-associates,623f4e4de7308b0001affb61
Bayside Solutions,160,http://www.baysidesolutions.com,http://www.linkedin.com/company/bayside-solutions,623acad198050a0001c7f99f
Brown & Brown Insurance,7500,http://www.bbinsurance.com,http://www.linkedin.com/company/brown-&-brown,61fd51a6ad5cfa0001b690d3
BCD Meetings & Events,1400,http://www.bcdme.com,http://www.linkedin.com/company/bcdme,623f4e4de7308b0001affb60
BravoTECH,120,http://www.bravotech.com,http://www.linkedin.com/company/bravotech,620176553e1b060001a1faea
Brinks Home,1200,http://www.brinkshome.com,http://www.linkedin.com/company/brinks-home,622234fa11146f000118e346
BRP,6100,http://www.brp.com,http://www.linkedin.com/company/brp,6230bd8ceaaa2001160fa44b
BSI Financial Services,280,http://www.bsifinancial.com,http://www.linkedin.com/company/bsifinancial,61fd51a6ad5cfa0001b690d5
Business Centric Technology,39,http://www.businesscentrictechnology.com,http://www.linkedin.com/company/avizion-technologies-group,623f4e4de7308b0001affb62
CancerIQ,37,http://www.canceriq.com,http://www.linkedin.com/company/cancer-iq-inc-,623f4e4de7308b0001affb64
Capgemini,287000,http://www.capgemini.com,http://www.linkedin.com/company/capgemini,620176553e1b060001a1fafb
Capital One,57000,http://www.capitalone.com,http://www.linkedin.com/company/capital-one,620176553e1b060001a1fafc
Cardinal Health,30000,http://www.cardinalhealth.com,http://www.linkedin.com/company/cardinal-health,61f805fb0d4ff40001b1c12f
CareerAddict,14,http://www.careeraddict.com,http://www.linkedin.com/company/career-addict,620a7b18c47acf00010f4ec4
Crescent Bank,300,http://www.cbtno.com,http://www.linkedin.com/company/crescent-bank-&-trust,623f4e4de7308b0001affb70
Cetera Financial Group,1200,http://www.cetera.com,http://www.linkedin.com/company/cetera-financial-group,623f4e4de7308b0001affb65
Configurable Management,4,http://www.cfg-mgt.com,http://www.linkedin.com/company/configurable-management,623f4e4de7308b0001affb6b
Charlton Morris,130,http://www.charltonmorris.com,http://www.linkedin.com/company/charlton-morris,623f4e4de7308b0001affb66
Cognitus,250,http://www.cognitusconsulting.com,http://www.linkedin.com/company/cognitus-global,623f4e4de7308b0001affb67
Cognizant,332000,http://www.cognizant.com,http://www.linkedin.com/company/cognizant,61f805fb0d4ff40001b1c0e6
Cogstate,210,http://www.cogstate.com,http://www.linkedin.com/company/cogstate,623f4e4de7308b0001affb68
Collabera Inc.,8300,http://www.collabera.com,http://www.linkedin.com/company/collabera,61f805fb0d4ff40001b1c0ec
ComTec Information Systems (IT),240,http://www.comtecinfo.com,http://www.linkedin.com/company/comtec-information,623f1d09ab4ac700dc6db5a5
Consolidated Analytics,280,http://www.consolidatedanalytics.com,http://www.linkedin.com/company/consolidated-analytics,622234fa11146f000118e371
"ConsumerTrack, Inc.",170,http://www.consumertrack.com,http://www.linkedin.com/company/consumertrack-inc-,620176553e1b060001a1fb15
Continuum Clinical,120,http://www.continuumclinical.com,http://www.linkedin.com/company/continuum-clinical,623f4e4de7308b0001affb6d
Cora Systems,120,http://www.corasystems.com,http://www.linkedin.com/company/cora-systems,623f4e4de7308b0001affb6e
Cotiviti,4500,http://www.cotiviti.com,http://www.linkedin.com/company/cotiviti,620176553e1b060001a1fb1d
Crain Communications,3000,http://www.crain.com,http://www.linkedin.com/company/crain,623f4e4de7308b0001affb6f
Crawford & Company,7500,http://www.crawco.com,http://www.linkedin.com/company/crawco,622234fa11146f000118e373
Comstock Resources,120,http://www.crkfrisco.com,,623f4e4de7308b0001affb69
Crown Castle,5100,http://www.crowncastle.com,http://www.linkedin.com/company/crown-castle,622f8e0e0aa8590001097e3f
CSG Government Solutions,200,http://www.csgdelivers.com,http://www.linkedin.com/company/csg-government-solutions,623f4e4de7308b0001affb63
CSI Companies,780,http://www.csicompanies.com,http://www.linkedin.com/company/csi-companies,622f87172e202a00a5ddfefe
Cypress HCM,230,http://www.cypresshcm.com,http://www.linkedin.com/company/cypress-hcm,62152ff5a2911b000191013b
D.A. Davidson Companies,1200,http://www.dadavidson.com,http://www.linkedin.com/company/d-a--davidson-&-co-,623f4e4de7308b0001affb71
Dallas Capital Bank,74,http://www.dallascapitalbank.com,http://www.linkedin.com/company/dallas-capital-bank,623f4e4de7308b0001affb72
Dice,420,http://www.dice.com,http://www.linkedin.com/company/dice,61f805fb0d4ff40001b1c112
Digipulse Technologies Inc.,50,http://www.digipulsetech.com,http://www.linkedin.com/company/digipulse-technologies-inc-,62152ff5a2911b00019101a0
Digital Prospectors,97,http://www.digitalprospectors.com,http://www.linkedin.com/company/digital-prospectors,623f4e4de7308b0001affb73
DriveTime,3000,http://www.drivetime.com,http://www.linkedin.com/company/drivetime,61fd51a6ad5cfa0001b690e6
eClerx,11000,http://www.eclerx.com,http://www.linkedin.com/company/eclerx,6220ec770bd2a5000132c1df
Edward Jones,38000,http://www.edwardjones.com,http://www.linkedin.com/company/edward-jones,620176553e1b060001a1fb32
Elan Partners,25,http://www.elanpartners.com,http://www.linkedin.com/company/elanpartners,620d0bbaa74b4f0001689dbe
Elevate,50,http://www.elevateapp.com,http://www.linkedin.com/company/elevate-labs-llc,620176553e1b060001a1fb35
Eliassen Group,850,http://www.eliassen.com,http://www.linkedin.com/company/eliassen-group,61fe4f9f5cea6b00013363ef
Ellucian,3300,http://www.ellucian.com,http://www.linkedin.com/company/ellucian,623f4e4de7308b0001affb74
Elsdon Consulting ltd,46,http://www.elsdonconsulting.com,http://www.linkedin.com/company/elsdon-consulting,623f4e4de7308b0001affb75
Engage Partners Inc.,67,http://www.engagestaff.com,http://www.linkedin.com/company/engage-partners-inc-,623f4e4de7308b0001affb76
Enlighten Operational Excellence,180,http://www.enlighten-opex.com,http://www.linkedin.com/company/enlighten-operational-excellence,623f4e4de7308b0001affb77
EPITEC,670,http://www.epitec.com,http://www.linkedin.com/company/epitec,622234fa11146f000118e387
ettain group,1700,http://www.ettaingroup.com,http://www.linkedin.com/company/ettain-group,6220ec770bd2a5000132c177
Evolent Health,2500,http://www.evolenthealth.com,http://www.linkedin.com/company/evolent-health,623f4e4de7308b0001affb78
EY,340000,http://www.ey.com,http://www.linkedin.com/company/ernstandyoung,61f9608a66f7f20001ee0489
FastSpring,130,http://www.fastspring.com,http://www.linkedin.com/company/fastspring,623f4e4de7308b0001affb79
Fidelity Investments,64000,http://www.fidelity.com,http://www.linkedin.com/company/fidelity-investments,61f9608a66f7f20001ee048a
First United Bank,1500,http://www.firstunitedbank.com,http://www.linkedin.com/company/firstunitedbank,61fd51a6ad5cfa0001b690ed
Fisher Investments,4000,http://www.fisherinvestments.com,http://www.linkedin.com/company/fisher-investments,61fd51a6ad5cfa0001b690ef
Florida Blue,7100,http://www.floridablue.com,http://www.linkedin.com/company/florida-blue,6205526548cf3b0001a2e0d8
GCB Services,130,http://www.gcbservices.com,http://www.linkedin.com/company/gcb-services,623f1cdaf3714300a6283e59
General Dynamics Information Technology,23000,http://www.gdit.com,http://www.linkedin.com/company/gdit,61fd51a6ad5cfa0001b690f6
GearsCRM,130,http://www.gearscrm.com,http://www.linkedin.com/company/gearscrm,623f4e4de7308b0001affb7e
Gerber Life Insurance Company,340,http://www.gerberlife.com,http://www.linkedin.com/company/gerber-life-insurance-company,623f4e4de7308b0001affb80
Concero,57,http://www.getconcero.com,http://www.linkedin.com/company/get-concero,623f1d78ab4ac700f96c7e17
Get Real Health,31,http://www.getrealhealth.com,http://www.linkedin.com/company/get-real-health,622234fa11146f000118e3bc
GBLI | Global Indemnity,410,http://www.globalindemnity.ie,,623f4e4de7308b0001affb7c
Global Soft Technologies LLC,44,http://www.globalss.com,http://www.linkedin.com/company/globalsoft-,623f4e4de7308b0001affb81
Globe Life,17,http://www.globeontheweb.com,http://www.linkedin.com/company/globe-insurance,623f4e4de7308b0001affb84
General Motors,113000,http://www.gm.com,http://www.linkedin.com/company/general-motors,623f4e4de7308b0001affb7f
GM Financial,7400,http://www.gmfinancial.com,http://www.linkedin.com/company/gm-financial,623f4e4de7308b0001affb7d
Planet Technologies,290,http://www.go-planet.com,http://www.linkedin.com/company/planet-technologies,623f4e4de7308b0001affba3
Goldman Sachs,71000,http://www.goldmansachs.com,http://www.linkedin.com/company/goldman-sachs,61f805fb0d4ff40001b1c118
Sunpro Solar Energy Specialists,1100,http://www.gosunpro.com,http://www.linkedin.com/company/sunpro-solar-home-specialists,623f4e4de7308b0001affbb1
"Global Technology Associates, Ltd.",35,http://www.gtaprofessionals.com,http://www.linkedin.com/company/gta-professional-staffing,623f4e4de7308b0001affb82
"Global Technology Associates, Ltd.",35,http://www.gtaprofessionals.com,http://www.linkedin.com/company/gta-professional-staffing,623f4e4de7308b0001affb83
Guardian Life,7500,http://www.guardianlife.com,http://www.linkedin.com/company/the-guardian-life-insurance-company-of-america_164085,622f8e0e0aa8590001097e4d
GuideWell,410,http://www.guidewell.com,http://www.linkedin.com/company/guidewell,6205526548cf3b0001a2e0e0
TestRail by Gurock,26,http://www.gurock.com,http://www.linkedin.com/company/testrail,623f4e4de7308b0001affbb3
Hathway,3500,http://www.hathway.com,http://www.linkedin.com/company/hathway-cable-and-datacom-pvt-ltd,6205526548cf3b0001a2e0e2
HealthCare Recruiters International,210,http://www.hcrnetwork.com,http://www.linkedin.com/company/healthcare-recruiters,6237eaeb725b140001b1aee1
"H&E Equipment Services, Inc.",2000,http://www.he-equipment.com,http://www.linkedin.com/company/hees,623f4e4de7308b0001affb85
Healthtalentpro,0,http://www.healthtalentpro.com,http://www.linkedin.com/company/healthtalentpro,623f4e4de7308b0001affb86
American Heart Association,8200,http://www.heart.org,http://www.linkedin.com/company/american-heart-association,620176553e1b060001a1fab0
Hillwood,560,http://www.hillwood.com,http://www.linkedin.com/company/hillwood,623f4e4de7308b0001affb87
Hilti North America,23000,http://www.hilti.group,http://www.linkedin.com/company/hilti,61fd51a6ad5cfa0001b690ff
Hunter International Recruiting,86,http://www.hirecruiting.com,http://www.linkedin.com/company/hunter-international-recruiting,6220cae047a0f2000138fd0e
HireTalent - Diversity Staffing & Recruiting Firm,260,http://www.hiretalent.com,http://www.linkedin.com/company/hiretalent_,620a7b18c47acf00010f4ede
Horace Mann,1200,http://www.horacemann.com,http://www.linkedin.com/company/horace-mann,61fbf9ddfd5698000181454d
Horizon Hobby,320,http://www.horizonhobby.com,http://www.linkedin.com/company/horizon-hobby,623f4e4de7308b0001affb88
HTC Global Services,3500,http://www.htcinc.com,http://www.linkedin.com/company/ciber,622f8e0e0aa8590001097e5c
Huntington National Bank,15000,http://www.huntington.com,http://www.linkedin.com/company/huntington-national-bank,61fd51a6ad5cfa0001b69102
IBM,526000,http://www.ibm.com,http://www.linkedin.com/company/ibm,623f4e4de7308b0001affb8a
IBM,526000,http://www.ibm.com,http://www.linkedin.com/company/ibm,623f4e4de7308b0001affb89
Intellectual Capitol (ICAP),19,http://www.icapsolutions.net,http://www.linkedin.com/company/icap-solutions,6220ffabc86ebf0001db5829
ikon Technologies,82,http://www.ikontechnologies.com,http://www.linkedin.com/company/ikon-gps,623f4e4de7308b0001affbc3
"IMA Financial Group, Inc.",2200,http://www.imacorp.com,http://www.linkedin.com/company/ima-financial-group-inc,623e7190a54da200a530ce9a
Infinite Computer Solutions,5100,http://www.infinite.com,http://www.linkedin.com/company/infinite-computer-solutions,622234fa11146f000118e3e2
"InfoIMAGE, Inc.",98,http://www.infoimageinc.com,http://www.linkedin.com/company/infoimage-inc.,623f4e4de7308b0001affb8c
InfoStride,140,http://www.infostride.com,http://www.linkedin.com/company/infostride,6220ec770bd2a5000132c18e
Infosys,279000,http://www.infosys.com,http://www.linkedin.com/company/infosys,620176553e1b060001a1fb93
InfoVision Inc.,1200,http://www.infovision.com,http://www.linkedin.com/company/infovision,620176553e1b060001a1fba1
Inovalon,2800,http://www.inovalon.com,http://www.linkedin.com/company/inovalon,622f8e0e0aa8590001097e62
Insight Global,11000,http://www.insightglobal.com,http://www.linkedin.com/company/insight-global,620176553e1b060001a1fba3
Iris Software Inc.,2400,http://www.irissoftware.com,http://www.linkedin.com/company/iris-software-inc.,623e716ee65d90008df02449
(ISC)Â²,530,http://www.isc2.org,http://www.linkedin.com/company/isc2,623f4e4de7308b0001affb54
isite itecnologies inc,33,http://www.isiteinfo.com,http://www.linkedin.com/company/isite-technologies,623f4e4de7308b0001affbc4
IT Motives,19,http://www.itmotives.com,http://www.linkedin.com/company/it-motives,623f4e4de7308b0001affb8b
"InfoTech Resources, Inc.",5,http://www.itresources.com,http://www.linkedin.com/company/infotech-resources-inc-,623f4e4de7308b0001affb8d
Jack Henry & Associates,6200,http://www.jackhenry.com,http://www.linkedin.com/company/jack-henry-&-associates,62152ff5a2911b00019101bd
JCPenney,35000,http://www.jcpenney.com,http://www.linkedin.com/company/jcpenney,62152ff5a2911b000191012f
JLL,71000,http://www.jll.com,http://www.linkedin.com/company/jll,620a7b18c47acf00010f4ee3
Johnson Controls,71000,http://www.johnsoncontrols.com,http://www.linkedin.com/company/johnson-controls,620a7b18c47acf00010f4ee5
JPMorgan Chase & Co.,302000,http://www.jpmorganchase.com,http://www.linkedin.com/company/jpmorganchase,62152ff5a2911b00019101be
